id,cause_of_death,missing,dead,affected_nationality
92579,Fell from train,0.0,1.0,Honduras
92979,Dehydration,0.0,1.0,Mexico
93378,Dehydration,0.0,1.0,Guatemala
93777,Dehydration,0.0,1.0,Dominican Republic
94177,Dehydration,0.0,1.0,El Salvador
94180,Dehydration,0.0,1.0,Honduras
94577,Hypothermia,0.0,1.0,Haiti
94977,Murdered,0.0,2.0,1 Honduran
94977,Murdered,0.0,2.0,3 Mexican
94978,Vehicle accident,0.0,1.0,Mexico
94980,Drowning,2.0,5.0,Syria
95377,Exposure,0.0,1.0,Mexico
95378,Drowning,1.0,0.0,Morocco
95379,Drowning,2.0,1.0,Syria
96577,Car accident,0.0,1.0,Guatemala
96977,Drowning,2.0,1.0,Mexican
96979,Head injury from fall,0.0,1.0,Eritrea
97377,Stabbed,0.0,1.0,Sudan
97778,Drowning,151.0,0.0,'Sub-Saharan African'
98177,Drowning,0.0,1.0,Mexico
100178,Renal insufficiency and pulmonary edema,0.0,1.0,Cuban
100179,Drowning,0.0,1.0,Guatemala
100578,Vehicle accident,0.0,2.0,Guatemala
100578,Vehicle accident,0.0,2.0,Honduras
100578,Vehicle accident,0.0,2.0,El Salvador
101779,Drowning,0.0,1.0,Honduras
101780,Murdered,0.0,1.0,Honduras
102577,Hyperthermia,0.0,1.0,Mexico
102579,Hyperthermia,0.0,1.0,Mexico
102584,Hyperthermia,0.0,1.0,Guatemala
102588,Murdered,0.0,2.0,Honduras
102977,Blunt force head trauma,0.0,1.0,Mexico
102979,Hyperthermia,0.0,1.0,Mexico
102980,Hyperthermia,0.0,1.0,Mexico
102983,Hyperthermia,0.0,1.0,Mexico
102988,Hit by vehicle,0.0,1.0,Honduras
103777,Vehicle accident,0.0,3.0,Honduras
103778,Drowning,0.0,7.0,Reported as unspecified nationals of Africa
103779,Drowning,0.0,1.0,Mexico
105377,Vehicle accident,0.0,1.5,Ethiopia
105377,Vehicle accident,0.0,1.5,Somalia
105379,Drowning,0.0,6.0,Iraq
105380,Shot,0.0,1.0,Afghanistan
105777,Violent robbery,0.0,2.0,Cuba
106577,Drowning,0.0,1.0,Honduras
106578,Heart attack,0.0,1.0,Honduras
107377,Heart attack,0.0,1.0,Haiti
107378,"Pulmonary edema, Kidney failure",0.0,1.0,Cuba
107382,Respiratory illness,0.0,1.0,Democratic Republic of Congo
107384,Hit by vehicle,0.0,1.0,Afghanistan
107777,Mixed,0.0,25.0,Mixed
108178,Stabbed,0.0,1.0,Afghanistan
108179,"Hunger, fatigue",0.0,1.0,Algerian
108577,Drowning,21.0,51.0,Egyptian
108577,Drowning,21.0,51.0,Eritrean
108577,Drowning,21.0,51.0,Sudanese
108577,Drowning,21.0,51.0,Syrian
108977,Fell from train,0.0,1.0,Honduras
109377,Hit by train,0.0,1.0,Sudan
109778,Sickness,0.0,1.0,Haiti
109779,Drowning,1.0,0.0,Mexico
110178,Drowning,15.0,5.0,Cuba
110577,Drowning,0.0,1.0,Reported as unspecified national of Sub-Saharan Africa
111378,Drowning,10.0,3.5,Afghanistan
111378,Drowning,10.0,3.5,Pakistan
111379,Vehicle accident,0.0,14.0,Afghanistan
111381,Drowning,0.0,10.0,Libya
111381,Drowning,0.0,10.0,Morocco
111381,Drowning,0.0,10.0,Syria
111382,Asphyxiation,0.0,4.0,Nigeria
111382,Asphyxiation,0.0,4.0,Eritrea
111382,Asphyxiation,0.0,4.0,Guinea
111382,Asphyxiation,0.0,4.0,Gambia
111382,Asphyxiation,0.0,4.0,Sudan
111382,Asphyxiation,0.0,4.0,Ivory Coast
111382,Asphyxiation,0.0,4.0,Somalia
111383,"Dehydration, Asphyxiation",0.0,3.0,Guatemala
111383,"Dehydration, Asphyxiation",0.0,3.0,Ecuador
112182,Hyperthermia,0.0,1.0,Mexico
113378,Drowning,25.0,0.0,Unspecified nationalities of Subsaharan Africa
113380,Drowning,22.0,0.0,Unspecified nationalities of Sub-Saharan Africa
113381,Drowning,0.0,1.0,Unspecified nationality of Sub-Saharan Africa
113382,Drowning,1.0,1.0,Morocco
113383,Drowning,0.0,1.0,Mexico
113778,Shot,0.0,1.0,Honduras
114179,Hit by vehicle,0.0,1.0,Eritrea
114180,Drowning,0.0,1.0,Mexico
114978,Drowning,8.5,0.0,Nigeria
114978,Drowning,8.5,0.0,Senegal
114979,Hit by train,0.0,1.0,Iraq
115777,Suffocation,0.0,1.0,Eritrea
115778,Drowning,0.0,1.0,Cuba
116177,Injured from a fight,0.0,1.0,Sudan
116578,Vehicle accident,0.0,7.0,Ethiopia
116579,Drowning,0.0,1.0,Guatemala
116580,Drowning,0.0,1.0,Honduras
117379,Drowning,0.0,1.0,1 Venezuelan
117379,Drowning,0.0,1.0,1 unknown
118180,Mixed,0.0,44.0,Honduras
119380,Drowning,0.0,32.333333333333336,Senegal
119380,Drowning,0.0,32.333333333333336,Mali
119380,Drowning,0.0,32.333333333333336,Guinea
120579,Fell from train,0.0,1.0,Honduras
120977,Drowning,1.0,1.0,Honduras
120978,Drowning,6.0,54.0,Malaysia
122184,Hit by vehicle,0.0,1.0,Syria
122977,Dehydration,0.0,1.0,El Salvador
122978,Drowning,0.0,1.0,Mexico
122981,"Hyperthermia, Dehydration",0.0,1.0,Mexico
123377,Fell from train,0.0,1.0,Honduras
123378,Drowning,0.0,1.0,Nicaragua
123379,Drowning,0.0,1.0,Honduras
123381,Drowning,0.0,1.0,Reported as unspecified national of Africa
123777,"Drowning, Asphyxiation",0.0,1.0,Mexico
124177,Drowning,0.0,1.0,Mexico
124577,Drowning,22.0,4.0,Reported as unspecified nationals of Africa
125377,Road accident,0.0,1.0,Pakistan
125777,Drowning,1.0,5.0,Reported as unspecified nationals of West Africa
125778,Drowning,135.0,0.0,Reported as unspecified nationals of West Africa
125782,Shot,0.0,1.0,Rohingya
126179,Drowning,0.0,1.0,Venezuela
126180,Hit by vehicle,0.0,1.0,Honduras
126181,Heart attack,0.0,1.0,Cuba
127777,Drowning,3.0,6.0,Syria
127778,Mixed,0.0,6.0,Mixed
128177,Drowning,0.0,1.0,Mexico
128178,Stabbed,0.0,1.0,Afghanistan
128579,Fell from train,0.0,1.0,Reported as unspecified national of Central America
128582,Hypothermia,0.0,1.0,Afghanistan
128978,Drowning,0.0,1.0,El Salvador
129377,Cervix cancer,0.0,1.0,Haiti
129378,Suicide,0.0,1.0,Afghanistan
129777,Digestive bleeding,0.0,1.0,Nepal
130177,Drowning,0.0,5.0,Ghana
130178,Hit by train,0.0,1.0,Honduras
130179,Drowning,0.0,1.0,Guatemala
130977,Hypothermia,0.0,1.0,Dominican Republic
130978,Drowning,0.0,1.0,Nigeria
130979,Drowning,0.0,1.0,Reported as unspecified national of Sub-Saharan Africa
131783,Fell from train,0.0,1.0,Honduran
132180,Hypothermia,0.0,1.0,Mexico
132577,Hit by train,0.0,1.0,Eritrea
132578,Drowning,4.0,26.0,Myanmar (Rohingya)
132581,Hypothermia,0.0,1.0,Dominican Republic
133380,Hit by train,0.0,1.0,Honduras
133381,Heart attack,0.0,1.0,Honduras
133777,Asphyxiation (Silica sand inhalation),0.0,1.0,Guatemala
133778,Fell from wall,0.0,1.0,El Salvador
134177,Drowning,0.0,11.0,Reported as unspecified nationals of Sub-Saharan Africa
134180,Vehicle accident,0.0,2.0,Honduras
137377,Glycemic crisis (Lack of Insuline Treatment),0.0,1.0,Mexican
137778,shot,0.0,1.0,Rohingya
138177,Hypothermia,0.0,1.0,Somalia
138579,Fell from train,0.0,1.0,Honduras
138588,Vehicle accident,0.0,1.0,Haiti
138978,Beat-up and thrown into river,0.0,1.0,Brazil
138988,Drowning,56.0,5.0,Reported as unspecified nationals of West Africa
138989,Drowning,1.5,2.0,Cameroon
138989,Drowning,1.5,2.0,Senegal and Ivory Coast
139378,Vehicle accident,0.0,3.0,Afghanistan
139379,Mixed,0.0,18.0,Mixed
139380,Hypothermia,0.0,1.0,Afghanistan
139381,Drowning,0.0,5.0,"Reported as ""mostly"" Senegal"
139777,Hypothermia,0.0,2.0,Iraq
140578,"Hypothermia, Exhaustion",0.0,2.0,Syria
140977,Fell from train,0.0,1.0,Honduras
141778,Hypothermia,0.0,1.0,Reported as unspecified nationals of Sub-Saharan Africa
143380,Drowning,0.0,1.0,Mexican
143780,Drowning,0.0,1.0,El Salvador
144177,Drowning,0.0,1.0,El Salvador
144747,Murdered,0.0,1.0,Honduras
145146,Van accident,0.0,1.0,El Salvador
145546,Drowning,0.0,5.0,Venezulean
145547,Hit by truck,0.0,1.0,Ethiopia
146746,Drowning,51.0,17.0,Haiti
146747,Drowning,0.0,2.0,Indonesia
146748,Drowning,0.0,4.0,Indonesia
146749,Drowning,7.0,10.0,Indonesia
146751,Drowning,0.0,1.0,El Salvador
147146,Drowning,0.0,8.0,Indonesia
147148,Drowning,0.0,1.0,Congo
147546,Hypothermia,0.0,2.0,Ivory Coast
147946,Drowning,0.0,1.0,Guatemala
147950,Drowning,0.0,1.0,Honduras
147951,Drowning,0.0,1.0,Honduras
147952,Drowning,0.0,1.0,Honduras
148346,Drowning,0.0,1.0,El Salvador
148746,Drowning,0.0,1.0,Honduras
148747,Drowning,0.0,1.0,Ethiopia
149952,Head trauma (hit by boat propeller),0.0,1.0,Somalia
150355,Drowning,0.0,7.0,Somalia
150356,"Undernourished, dehydration",0.0,1.0,Ethiopia
150746,Hit by vehicle,0.0,1.0,Eritrea
150747,Shot,0.0,1.0,Syrian
150749,Shot,0.0,3.0,Syria
150750,Shot,0.0,4.0,Syria
150751,Shot,0.0,3.0,Syrian
150752,Hypothermia,0.0,1.0,Guatemala
150753,Hit by car,0.0,1.0,Sudan
150754,Heart attack,0.0,1.0,El Salvador
150755,Renal insufficiency,0.0,1.0,Guatemala
151147,Hit by train,0.0,1.0,Argelia
151946,Drowning,0.0,1.0,Afghanistan
151947,Hypothermia,0.0,1.0,Pakistan
152346,Drowning,0.0,5.0,Myanmar
152347,Shot,0.0,1.0,Myanmar
152348,Drowning,0.0,18.0,Myanmar
152349,Shot,0.0,1.0,Myanmar
152746,Drowning,0.0,3.0,Myanmar
153146,Raped and Murdured,0.0,1.0,Honduras
153546,Drowning,0.0,74.0,Mixed
153548,Hypothermia,0.0,1.0,Iraqui
154346,Mixed,0.0,18.0,Mixed
154746,Drowning,8.0,4.0,Domican Republic
155146,Drowning,6.0,7.0,Indonesia
155147,Fell from train,0.0,1.0,Guatemala
155149,Drowning,0.0,3.0,Pakistan
155546,Drowning,0.0,1.0,Honduras
157546,Murdered,0.0,1.0,Haitian
157548,"Starvation, sickness",0.0,12.0,Reported as unspecified nationals of Africa
157549,Electrocution on railway,0.0,1.0,Somalia
157946,Drowning,3.0,1.0,Algerian
158347,Drowning,0.0,1.0,Brazil
158746,Vehicle accident,0.0,1.0,Ethiopia
158747,Drowning,0.0,4.0,Ethiopia
159146,Suffocation,0.0,1.0,Ethiopia
159153,Sickness,0.0,1.0,Mexico
159946,heart attack,0.0,1.0,Cuban
159947,Drowning,0.0,1.0,Cuban
160746,Hit by vehicle,0.0,1.0,Honduras
164346,Hit by train,0.0,1.0,Honduras
164746,Shot by Apache helicopter,0.0,42.0,Somalia
164747,Shot,0.0,1.0,Somalia
164747,Shot,0.0,1.0,Ethiopia
165146,Beaten to death on train,0.0,1.0,Honduras
166347,Shot,0.0,1.0,Honduras
166349,Drowning,0.0,3.0,Syria
166746,Hypothermia,0.0,5.0,Unspecified national of Sub-Saharan Africa
166747,Violent robbery,0.0,1.0,Honduras
166750,Drowning,0.0,1.0,Unspecified national of Sub-Saharan Africa
167547,Drowning,5.0,1.0,Unspecfied nationals of Western Africa
169546,Vehicle accident,0.0,1.0,El Salvador
169946,Murdered,0.0,2.0,Honduras
170379,Dehydration,0.0,1.0,Mexico
170380,Fell from train,0.0,1.0,El Salvador
170381,Drowning,0.0,1.0,Mexico
170382,Fell from train,0.0,1.0,Honduras
170383,Hyperthermia,0.0,1.0,Mexico
170765,Fell from train,0.0,1.0,Mexico
171947,Drowning,0.0,3.0,Unspecified national of Sub-Saharan Africa
171948,Drowning,97.0,0.0,Unspecified nationals of Africa
171949,Drowning,0.0,1.6666666666666667,2 Senegal
171949,Drowning,0.0,1.6666666666666667,2 Guinea
171949,Drowning,0.0,1.6666666666666667,1 Ghana
171950,Drowning,20.0,13.0,Unspecified nationals of West Africa
172346,Violence,0.0,1.0,Ghana
172754,Shot,0.0,1.0,Myanmar
172760,Hypothermia,0.0,2.0,Iraq
173146,Drowning,0.0,1.0,Honduras
174748,Hypothermia,0.0,1.0,Afghanistan
175146,Shot,0.0,1.0,Mexico
175147,Drowning,1.75,4.0,Cameroon
175147,Drowning,1.75,4.0,Democratic Republic of Congo
175147,Drowning,1.75,4.0,Syria
175147,Drowning,1.75,4.0,Turkey
175148,Drowning,0.0,1.0,Honduras
175546,Hit by vehicle,0.0,1.0,Honduras
175946,Vehicle accident,0.0,1.0,Iran
176746,Vehicle incident,0.0,3.0,Afghanistan
177947,Drowning,0.0,1.0,Brazilian
178346,Shot,0.0,1.0,Gambia
179146,Drowning,0.0,1.0,Guatemala
179147,Drowning,10.0,1.0,Comoran
179947,Drowning,0.0,1.0,Haitian
181146,Drowning,1.0,1.0,Unspecified nationals of West Africa
181546,Drowning,156.0,0.0,Unspecified nationals of West Africa
181547,Shot,0.0,1.0,Syria
182347,Fall from cliff,0.0,1.0,Bangladesh
182746,Drowning,0.0,7.0,Unspecified nationals of Sub-Saharan Africa
184346,Drowning,0.0,1.0,Iraq
184348,Dehydration,0.0,1.0,Mexican
184352,Hypothermia,0.0,1.0,Ghana
184353,Drowning,0.0,1.0,Guatemala
184747,Train accident,0.0,1.0,Honduras
184750,Dehydration,0.0,22.0,Ghana
184750,Dehydration,0.0,22.0,Nigeria
